;temperature;humidity;time
281;20.1;55;2022-05-02 11:55:41.508523
282;20.0;55;2022-05-02 11:58:38.773783
283;20.1;55;2022-05-02 12:00:13.072507
284;20.0;55;2022-05-02 12:03:18.010418
285;19.9;55;2022-05-02 12:06:25.332410
286;19.8;55;2022-05-02 12:09:37.853253
287;19.9;55;2022-05-02 12:12:54.020493
288;20.1;55;2022-05-02 12:13:19.929254
289;19.8;55;2022-05-02 12:15:51.481471
290;19.9;55;2022-05-02 12:18:14.840779
291;19.8;55;2022-05-02 12:21:15.790919
292;19.9;55;2022-05-02 12:22:48.253483
293;19.9;58;2022-05-02 12:24:22.581450
294;20.0;58;2022-05-02 12:46:58.704949
295;20.0;57;2022-05-02 12:46:58.715682
296;20.2;57;2022-05-02 12:49:48.865943
297;19.9;57;2022-05-02 12:50:07.395493
298;20.3;57;2022-05-02 12:51:27.065689
299;20.0;57;2022-05-02 12:53:27.386909
300;20.2;57;2022-05-02 12:54:41.527023
301;20.3;57;2022-05-02 12:58:31.872777
302;20.3;58;2022-05-02 13:29:21.412345
303;20.4;58;2022-05-02 13:30:16.130760
304;20.3;58;2022-05-02 13:33:56.972189
305;20.3;55;2022-05-02 13:33:56.977896
306;20.3;54;2022-05-02 13:35:20.028774
307;20.3;55;2022-05-02 13:36:33.647252
308;20.4;55;2022-05-02 13:39:59.260910
309;20.4;54;2022-05-02 13:42:24.483639
310;20.3;54;2022-05-02 13:54:55.408831
311;20.3;53;2022-05-02 13:54:55.416933
312;20.2;53;2022-05-02 14:02:24.551962
313;20.2;52;2022-05-02 14:02:24.625436
314;20.1;52;2022-05-02 14:06:45.224707
315;20.0;52;2022-05-02 14:09:53.848847
316;20.0;51;2022-05-02 14:15:41.227457
317;20.1;51;2022-05-02 14:17:44.792137
318;20.1;52;2022-05-02 14:23:14.223930
319;20.0;52;2022-05-02 14:25:17.614041
320;20.1;52;2022-05-02 14:31:27.384484
321;20.1;52;2022-05-02 14:32:46.069907
322;20.0;52;2022-05-02 14:34:03.851534
323;20.0;52;2022-05-02 14:34:18.396534
324;20.1;52;2022-05-02 14:35:13.117972
325;20.1;52;2022-05-02 14:37:10.563935
326;20.1;58;2022-05-02 14:38:44.962994
327;20.1;57;2022-05-02 14:40:19.262834
